DateTime,Open,High,Low,Close
20060109 00:00:00.000,2.55398,2.56031,2.55339,2.55872
20060501 00:00:00.000,2.85984,2.86736,2.85511,2.86196
20060915 00:00:00.000,2.87838,2.88240,2.87525,2.87648
20060915 12:00:00.000,2.87613,2.87693,2.86058,2.87109
20060929 00:00:00.000,2.84246,2.84644,2.82959,2.83478
20060929 12:00:00.000,2.83485,2.83862,2.82251,2.83780
20061027 00:00:00.000,2.87177,2.87555,2.86495,2.87269
20061027 12:00:00.000,2.87276,2.87806,2.85884,2.86059
20061110 00:00:00.000,2.86386,2.87741,2.86029,2.87633
20061110 12:00:00.000,2.87660,2.87828,2.86157,2.86355
20061117 00:00:00.000,2.84027,2.84444,2.83237,2.84127
20061117 12:00:00.000,2.84126,2.85645,2.83987,2.84670
20061201 00:00:00.000,2.87545,2.88556,2.86947,2.87100
20061201 12:00:00.000,2.87075,2.89445,2.87036,2.87654
20070126 00:00:00.000,2.81975,2.82212,2.81322,2.81713
20070126 12:00:00.000,2.81681,2.82722,2.80898,2.81230
20070202 00:00:00.000,2.88002,2.90019,2.87841,2.89921
20070202 12:00:00.000,2.89939,2.90473,2.88095,2.88382
20070313 00:00:00.000,2.77770,2.78420,2.77450,2.77460
20070313 12:00:00.000,2.77560,2.80750,2.77180,2.80690
20070314 00:00:00.000,2.81110,2.81860,2.79740,2.79840
20070314 12:00:00.000,2.79700,2.80690,2.79470,2.79510
20070315 00:00:00.000,2.79540,2.79810,2.78740,2.79010
20070315 12:00:00.000,2.78740,2.79640,2.77960,2.78320
20070316 00:00:00.000,2.78220,2.79688,2.77856,2.78804
20070316 12:00:00.000,2.78774,2.79428,2.77510,2.78338
20070319 00:00:00.000,2.78262,2.78906,2.77350,2.77520
20070319 12:00:00.000,2.77280,2.77620,2.76640,2.77070
20070320 00:00:00.000,2.76650,2.77630,2.76420,2.77260
20070320 12:00:00.000,2.77950,2.78240,2.77490,2.77940
20070321 00:00:00.000,2.77880,2.78740,2.77170,2.78550
20070321 12:00:00.000,2.78110,2.78270,2.76820,2.76990
20070322 00:00:00.000,2.77020,2.77800,2.76800,2.76920
20070322 12:00:00.000,2.77040,2.77200,2.75410,2.76390
20070323 00:00:00.000,2.76210,2.76442,2.75355,2.75473
20070323 12:00:00.000,2.75425,2.75713,2.74600,2.75512
20070326 00:00:00.000,2.76366,2.76366,2.74640,2.74700
20070326 12:00:00.000,2.74790,2.75080,2.74370,2.74750
20070327 00:00:00.000,2.74390,2.74840,2.73910,2.74130
20070327 12:00:00.000,2.73800,2.74050,2.72820,2.73940
20070328 00:00:00.000,2.74140,2.75830,2.73890,2.75590
20070328 12:00:00.000,2.75520,2.76780,2.75150,2.76390
20070329 00:00:00.000,2.76520,2.76570,2.74990,2.75440
20070329 12:00:00.000,2.75100,2.75450,2.74070,2.74300
20070330 00:00:00.000,2.74230,2.75433,2.73961,2.74646
20070330 12:00:00.000,2.74666,2.75536,2.73647,2.75381
20070402 00:00:00.000,2.74826,2.75977,2.74230,2.74420
20070402 12:00:00.000,2.74450,2.74620,2.73770,2.74180
20070403 00:00:00.000,2.74000,2.74980,2.73020,2.74640
20070403 12:00:00.000,2.74380,2.74690,2.73710,2.74390
20070404 00:00:00.000,2.74340,2.75090,2.73960,2.74660
20070404 12:00:00.000,2.74560,2.74880,2.73630,2.74110
20070405 00:00:00.000,2.73990,2.74290,2.72900,2.72950
20070405 12:00:00.000,2.73170,2.73230,2.72030,2.72100
20070406 00:00:00.000,2.72340,2.72752,2.72055,2.72405
20070406 12:00:00.000,2.72242,2.72805,2.71660,2.72669
20070409 00:00:00.000,2.72061,2.72670,2.71360,2.71520
20070409 12:00:00.000,2.71590,2.72530,2.71510,2.72260
20070410 00:00:00.000,2.72250,2.72720,2.71260,2.71670
20070410 12:00:00.000,2.70900,2.71630,2.70020,2.70030
20070411 00:00:00.000,2.69890,2.72020,2.69830,2.71890
20070411 12:00:00.000,2.71570,2.71650,2.70910,2.71150
20070412 00:00:00.000,2.71180,2.72260,2.70890,2.71780
20070412 12:00:00.000,2.71650,2.71810,2.70890,2.70990
20070413 00:00:00.000,2.70940,2.70960,2.69173,2.69887
20070413 12:00:00.000,2.69917,2.70014,2.68462,2.68902
20070416 00:00:00.000,2.68642,2.69200,2.67858,2.68740
20070416 12:00:00.000,2.69060,2.69330,2.68340,2.68910
20070417 00:00:00.000,2.68720,2.69620,2.68550,2.69260
20070417 12:00:00.000,2.69210,2.69740,2.69050,2.69390
20070418 00:00:00.000,2.69120,2.69730,2.68100,2.68730
20070418 12:00:00.000,2.69440,2.69830,2.68410,2.68530
20070419 00:00:00.000,2.68340,2.70840,2.68290,2.70310
20070419 12:00:00.000,2.70000,2.70320,2.68700,2.69290
20070420 00:00:00.000,2.69150,2.69499,2.68623,2.69002
20070420 12:00:00.000,2.68993,2.69470,2.67437,2.67473
20070423 00:00:00.000,2.67892,2.69480,2.67311,2.68420
20070423 12:00:00.000,2.68690,2.69040,2.68040,2.68210
20070424 00:00:00.000,2.68540,2.69730,2.68050,2.69280
20070424 12:00:00.000,2.69980,2.70010,2.68720,2.69410
20070425 00:00:00.000,2.69510,2.69550,2.68260,2.68350
20070425 12:00:00.000,2.68530,2.69100,2.68310,2.68590
20070426 00:00:00.000,2.68190,2.69070,2.67630,2.68250
20070426 12:00:00.000,2.69480,2.70010,2.69080,2.69180
20070427 00:00:00.000,2.69160,2.70188,2.68626,2.69792
20070427 12:00:00.000,2.69793,2.70048,2.68749,2.69006
20070430 00:00:00.000,2.69705,2.70260,2.68735,2.69310
20070430 12:00:00.000,2.69250,2.70110,2.68850,2.69960
20070501 00:00:00.000,2.69860,2.70390,2.69220,2.69560
20070501 12:00:00.000,2.69600,2.70020,2.69220,2.69800
20070502 00:00:00.000,2.69630,2.70640,2.69550,2.70250
20070502 12:00:00.000,2.70220,2.70240,2.69320,2.69610
20070503 00:00:00.000,2.69540,2.69850,2.69290,2.69840
20070503 12:00:00.000,2.69530,2.70310,2.69350,2.69980
20070504 00:00:00.000,2.70080,2.70802,2.69710,2.70425
20070504 12:00:00.000,2.70435,2.71068,2.69981,2.70284
20070507 00:00:00.000,2.70972,2.71330,2.70222,2.70620
20070507 12:00:00.000,2.70360,2.70620,2.69850,2.70270
20070508 00:00:00.000,2.70270,2.70670,2.69510,2.69690
20070508 12:00:00.000,2.69880,2.70130,2.69550,2.69780
20070509 00:00:00.000,2.69820,2.70630,2.69660,2.70230
20070509 12:00:00.000,2.70500,2.71840,2.70200,2.71530
20070510 00:00:00.000,2.71290,2.71950,2.71090,2.71160
20070510 12:00:00.000,2.70630,2.71940,2.70500,2.71930
20070511 00:00:00.000,2.72090,2.72458,2.70500,2.71255
20070511 12:00:00.000,2.71248,2.71612,2.69567,2.69800
20070514 00:00:00.000,2.69887,2.70318,2.67960,2.67970
20070514 12:00:00.000,2.68360,2.68490,2.67760,2.68350
20070515 00:00:00.000,2.68340,2.68650,2.68100,2.68420
20070515 12:00:00.000,2.68100,2.69090,2.67940,2.68810
20070516 00:00:00.000,2.68760,2.69370,2.68470,2.69040
20070516 12:00:00.000,2.69080,2.69940,2.68760,2.69680
20070517 00:00:00.000,2.69710,2.70030,2.69240,2.69440
20070517 12:00:00.000,2.69480,2.70790,2.69170,2.70090
20070518 00:00:00.000,2.70190,2.71481,2.70060,2.70403
20070518 12:00:00.000,2.70394,2.71101,2.69878,2.70082
20070521 00:00:00.000,2.70094,2.70480,2.67771,2.70170
20070521 12:00:00.000,2.70000,2.70330,2.69610,2.70080
20070522 00:00:00.000,2.69990,2.70860,2.69690,2.70600
20070522 12:00:00.000,2.70690,2.71990,2.70450,2.71630
20070523 00:00:00.000,2.71710,2.71900,2.71270,2.71550
20070523 12:00:00.000,2.71530,2.72330,2.71440,2.71950
20070524 00:00:00.000,2.72190,2.73040,2.71920,2.72640
20070524 12:00:00.000,2.72610,2.74140,2.72270,2.73730
20070525 00:00:00.000,2.73710,2.74030,2.72931,2.73471
20070525 12:00:00.000,2.73448,2.73955,2.72361,2.73118
20070528 00:00:00.000,2.73206,2.73450,2.72630,2.72750
20070528 12:00:00.000,2.72760,2.73250,2.72500,2.72690
20070529 00:00:00.000,2.72670,2.73250,2.72260,2.72630
20070529 12:00:00.000,2.72390,2.72700,2.71780,2.72150
20070530 00:00:00.000,2.72290,2.72730,2.71550,2.71550
20070530 12:00:00.000,2.71530,2.71820,2.70080,2.70540
20070531 00:00:00.000,2.70530,2.71010,2.69860,2.69890
20070531 12:00:00.000,2.69540,2.69700,2.68380,2.68520
20070601 00:00:00.000,2.68550,2.68970,2.66832,2.67108
20070601 12:00:00.000,2.67101,2.67599,2.65754,2.65851
20070604 00:00:00.000,2.65820,2.66460,2.65612,2.66020
20070604 12:00:00.000,2.66250,2.66970,2.66160,2.66440
20070605 00:00:00.000,2.66500,2.66750,2.64730,2.64840
20070605 12:00:00.000,2.64700,2.66310,2.64290,2.65910
20070606 00:00:00.000,2.65810,2.65950,2.64090,2.65160
20070606 12:00:00.000,2.65090,2.65730,2.65010,2.65410
20070607 00:00:00.000,2.63420,2.64850,2.63130,2.63300
20070607 12:00:00.000,2.62000,2.63490,2.61980,2.63460
20070608 00:00:00.000,2.63590,2.63590,2.61696,2.62021
20070608 12:00:00.000,2.62044,2.62511,2.57463,2.57796
20070611 00:00:00.000,2.57912,2.62260,2.57760,2.62220
20070611 12:00:00.000,2.61970,2.62960,2.61650,2.61680
20070612 00:00:00.000,2.61630,2.62750,2.61630,2.62150
20070612 12:00:00.000,2.62200,2.63120,2.62140,2.63040
20070613 00:00:00.000,2.63640,2.63760,2.62630,2.62970
20070613 12:00:00.000,2.62840,2.62890,2.62340,2.62550
20070614 00:00:00.000,2.62350,2.63440,2.62200,2.62520
20070614 12:00:00.000,2.61960,2.62620,2.61710,2.62550
20070615 00:00:00.000,2.62650,2.62770,2.61527,2.61994
20070615 12:00:00.000,2.62005,2.62501,2.61352,2.61521
20070618 00:00:00.000,2.63014,2.63242,2.61553,2.62340
20070618 12:00:00.000,2.62340,2.63210,2.62260,2.63080
20070619 00:00:00.000,2.62950,2.63340,2.62420,2.62850
20070619 12:00:00.000,2.63010,2.63080,2.61710,2.62190
20070620 00:00:00.000,2.62180,2.62350,2.61540,2.61720
20070620 12:00:00.000,2.61760,2.62470,2.61190,2.62090
20070621 00:00:00.000,2.62320,2.62630,2.60440,2.60780
20070621 12:00:00.000,2.60790,2.61550,2.60670,2.60880
20070622 00:00:00.000,2.60900,2.61120,2.60154,2.60547
20070622 12:00:00.000,2.60550,2.62495,2.59898,2.61424
20070625 00:00:00.000,2.61754,2.61858,2.60580,2.61080
20070625 12:00:00.000,2.60950,2.61650,2.60300,2.61080
20070626 00:00:00.000,2.60870,2.61360,2.59880,2.60190
20070626 12:00:00.000,2.60130,2.60980,2.59970,2.60770
20070627 00:00:00.000,2.60880,2.62070,2.60430,2.61890
20070627 12:00:00.000,2.62200,2.63500,2.61790,2.62570
20070628 00:00:00.000,2.62640,2.62730,2.61200,2.61420
20070628 12:00:00.000,2.60850,2.61020,2.59620,2.60480
20070629 00:00:00.000,2.60230,2.60476,2.58847,2.59093
20070629 12:00:00.000,2.59072,2.60851,2.58660,2.59787
20070702 00:00:00.000,2.59832,2.60161,2.58520,2.58670
20070702 12:00:00.000,2.58810,2.58860,2.57430,2.57780
20070703 00:00:00.000,2.57840,2.58340,2.57540,2.57560
20070703 12:00:00.000,2.57100,2.58310,2.57040,2.58160
20070704 00:00:00.000,2.58030,2.58310,2.57650,2.57850
20070704 12:00:00.000,2.57860,2.58220,2.57580,2.57880
20070705 00:00:00.000,2.57820,2.58110,2.57240,2.57250
20070705 12:00:00.000,2.56590,2.57500,2.56450,2.57270
20070706 00:00:00.000,2.57190,2.57330,2.56395,2.56658
20070706 12:00:00.000,2.56661,2.57642,2.55485,2.56847
20070709 00:00:00.000,2.56943,2.58390,2.56664,2.57610
20070709 12:00:00.000,2.57270,2.58490,2.57150,2.57940
20070710 00:00:00.000,2.57950,2.60230,2.57860,2.59490
20070710 12:00:00.000,2.58970,2.60580,2.58840,2.60490
20070711 00:00:00.000,2.61350,2.61820,2.60720,2.61260
20070711 12:00:00.000,2.61100,2.61210,2.59650,2.59740
20070712 00:00:00.000,2.59780,2.60350,2.59520,2.60290
20070712 12:00:00.000,2.59960,2.60030,2.58790,2.58960
20070713 00:00:00.000,2.58880,2.59433,2.57460,2.58234
20070713 12:00:00.000,2.58248,2.59365,2.58099,2.58131
20070716 00:00:00.000,2.58577,2.58795,2.57415,2.57860
20070716 12:00:00.000,2.57480,2.57540,2.56620,2.56620
20070717 00:00:00.000,2.56460,2.57470,2.56390,2.57270
20070717 12:00:00.000,2.58160,2.58960,2.58090,2.58960
20070718 00:00:00.000,2.58990,2.59470,2.58560,2.58960
20070718 12:00:00.000,2.58980,2.59140,2.58430,2.58770
20070719 00:00:00.000,2.58870,2.59370,2.58380,2.58430
20070719 12:00:00.000,2.58250,2.58810,2.58010,2.58350
20070720 00:00:00.000,2.58260,2.58420,2.57283,2.57987
20070720 12:00:00.000,2.58018,2.58759,2.57192,2.57732
20070723 00:00:00.000,2.57670,2.58240,2.55699,2.56800
20070723 12:00:00.000,2.56620,2.56720,2.55150,2.55560
20070724 00:00:00.000,2.55530,2.55790,2.54470,2.55190
20070724 12:00:00.000,2.55010,2.56190,2.54580,2.55820
20070725 00:00:00.000,2.56160,2.56610,2.55150,2.55160
20070725 12:00:00.000,2.54520,2.55810,2.54520,2.55790
20070726 00:00:00.000,2.56140,2.57250,2.55890,2.56620
20070726 12:00:00.000,2.56370,2.62020,2.56370,2.61840
20070727 00:00:00.000,2.62360,2.63753,2.59854,2.61302
20070727 12:00:00.000,2.61320,2.65323,2.60574,2.64196
20070730 00:00:00.000,2.64268,2.66897,2.64172,2.65720
20070730 12:00:00.000,2.66620,2.66720,2.64180,2.64320
20070731 00:00:00.000,2.63340,2.63970,2.62700,2.63170
20070731 12:00:00.000,2.63940,2.66510,2.62940,2.66320
20070801 00:00:00.000,2.66330,2.67640,2.65980,2.67270
20070801 12:00:00.000,2.66180,2.66740,2.66080,2.66480
20070802 00:00:00.000,2.65350,2.66120,2.65160,2.65460
20070802 12:00:00.000,2.65470,2.65570,2.64570,2.64790
20070803 00:00:00.000,2.65210,2.65968,2.64624,2.65898
20070803 12:00:00.000,2.65880,2.68417,2.64982,2.68107
20070806 00:00:00.000,2.68336,2.69803,2.68123,2.68440
20070806 12:00:00.000,2.67960,2.68060,2.65270,2.65580
20070807 00:00:00.000,2.65290,2.66180,2.64950,2.65590
20070807 12:00:00.000,2.65980,2.66300,2.65180,2.65580
20070808 00:00:00.000,2.65480,2.65970,2.65020,2.65210
20070808 12:00:00.000,2.65370,2.65930,2.64680,2.65170
20070809 00:00:00.000,2.65060,2.67510,2.64370,2.67510
20070809 12:00:00.000,2.67540,2.68620,2.67500,2.68610
20070810 00:00:00.000,2.69160,2.72490,2.68910,2.71748
20070810 12:00:00.000,2.71710,2.72305,2.70318,2.71168
20070813 00:00:00.000,2.70557,2.72630,2.70121,2.71820
20070813 12:00:00.000,2.71740,2.72750,2.71640,2.72030
20070814 00:00:00.000,2.72090,2.74770,2.71880,2.74640
20070814 12:00:00.000,2.73730,2.74820,2.73600,2.74800
20070815 00:00:00.000,2.74730,2.76520,2.74650,2.76440
20070815 12:00:00.000,2.77870,2.79420,2.77720,2.79260
